id,NAME,adm1_code,PctAdultsObese19,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_DIABETES_ADULTS19,Combined_Score
6,Colorado,USA-3522,23.8,5.39199455,,7.4,
11,Hawaii,USA-3517,25,6.963838155,,10.9,
21,Massachusetts,USA-3513,25.2,4.052284273,,9.5,
30,New Jersey,USA-3558,25.6,3.618740594,,11,
5,California,USA-3521,26.1,3.281056943,,10.5,
45,Vermont,USA-3540,26.6,3.27200875,,9.3,
9,Florida,USA-3542,27,7.147243896,,10.5,
32,New York,USA-3559,27.1,2.246638113,,10.5,
26,Montana,USA-3515,28.3,8.205491931,,7.9,
47,Washington,USA-3519,28.3,5.482251139,,9.8,
37,Oregon,USA-3525,29,5.305130762,,9.6,
7,Connecticut,USA-3537,29.1,4.331665599,,9.8,
44,Utah,USA-3526,29.2,5.801174793,,7.1,
12,Idaho,USA-3518,29.4,6.982692952,,8.7,
50,Wyoming,USA-3527,29.7,8.342864979,,8.7,
39,Rhode Island,USA-3539,30,4.698447962,,8.9,
23,Minnesota,USA-3514,30.1,5.58986726,,7.8,
2,Alaska,USA-3563,30.5,13.13736584,,7.4,
28,Nevada,USA-3523,30.6,5.294182198,,10.4,
3,Arizona,USA-3520,31.4,7.397118153,,10.4,
13,Illinois,USA-3546,31.6,4.435608526,,11,
19,Maine,USA-3561,31.7,3.831803329,,10.7,
31,New Mexico,USA-3524,31.7,13.95408508,,10.7,
29,New Hampshire,USA-3538,31.8,4.980847203,,8.4,
46,Virginia,USA-3552,31.9,14.7621777,,10.5,
20,Maryland,USA-3557,32.2,3.377695099,,10.4,
41,South Dakota,USA-3534,33,10.97311423,,11.1,
10,Georgia,USA-3543,33.1,9.009744022,,11.4,
38,Pennsylvania,USA-3560,33.2,4.553097104,,10.6,
15,Iowa,USA-3529,33.9,5.521178799,,9.6,
33,North Carolina,USA-3549,34,6.713845716,,11.4,
43,Texas,USA-3536,34,8.586575839,,11.9,
34,North Dakota,USA-3516,34.08,6.932431635,,9,
27,Nebraska,USA-3532,34.1,5.553388303,,10.1,
49,Wisconsin,USA-3553,34.2,4.775492098,,8.7,
8,Delaware,USA-3555,34.4,4.672788222,,11.3,
25,Missouri,USA-3531,34.8,6.827292418,,10.4,
35,Ohio,USA-3550,34.8,6.776966992,,11.3,
16,Kansas,USA-3530,35.2,8.225470902,,10.5,
14,Indiana,USA-3547,35.3,6.918337276,,11.8,
40,South Carolina,USA-3545,35.3,9.127284401,,13.4,
18,Louisiana,USA-3535,35.9,9.490579091,,13.6,
22,Michigan,USA-3562,36,6.290046414,,11,
1,Alabama,USA-3541,36.1,7.880421929,,14.1,
17,Kentucky,USA-3548,36.5,5.604774514,,12.9,
42,Tennessee,USA-3551,36.5,8.440470134,,13.1,
36,Oklahoma,USA-3533,36.8,8.557219095,,12.7,
4,Arkansas,USA-3528,37.4,8.622645322,,12.2,
48,West Virginia,USA-3554,39.7,6.547053985,,16.2,
24,Mississippi,USA-3544,40.8,10.60530249,,14.2,
