id,NAME,adm1_code,Pct_Adults_Obese19,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_DIABETES_ADULTS19,Combined_Score
1,Alabama,USA-3541,36.1,7.880421929,3.052000572,14.1,10.84149541
2,Alaska,USA-3563,30.5,13.13736584,10.48416205,7.4,14.0345723
3,Arizona,USA-3520,31.4,7.397118153,1.5557789,10.4,9.513560597
4,Arkansas,USA-3528,37.4,8.622645322,2.081770393,12.2,11.20402876
5,California,USA-3521,26.1,3.281056943,0.656589217,10.5,6.022398782
6,Colorado,USA-3522,23.8,5.39199455,1.035631994,7.4,6.997959385
7,Connecticut,USA-3537,29.1,4.331665599,1.581786689,9.8,7.080344588
8,Delaware,USA-3555,34.4,4.672788222,1.635953213,11.3,8.004547077
9,Florida,USA-3542,27,7.147243896,1.564383432,10.5,8.909509071
10,Georgia,USA-3543,33.1,9.009744022,2.616606555,11.4,11.01848147
11,Hawaii,USA-3517,25,6.963838155,1.556779861,10.9,8.620364694
12,Idaho,USA-3518,29.4,6.982692952,1.331598778,8.7,8.831044944
13,Illinois,USA-3546,31.6,4.435608526,1.291538376,11,7.494079806
14,Indiana,USA-3547,35.3,6.918337276,2.248610725,11.8,9.777697166
15,Iowa,USA-3529,33.9,5.521178799,1.674316926,9.6,8.382256852
16,Kansas,USA-3530,35.2,8.225470902,1.700701403,10.5,10.49789977
17,Kentucky,USA-3548,36.5,5.604774514,3.165601873,12.9,9.179902347
18,Louisiana,USA-3535,35.9,9.490579091,3.061996171,13.6,11.89960498
19,Maine,USA-3561,31.7,3.831803329,2.781849967,10.7,7.200447327
20,Maryland,USA-3557,32.2,3.377695099,1.252771986,10.4,6.749663768
21,Massachusetts,USA-3513,25.2,4.052284273,1.476435494,9.5,6.454242541
22,Michigan,USA-3562,36,6.290046414,2.114491447,11,9.314481634
23,Minnesota,USA-3514,30.1,5.58986726,1.862102964,7.8,7.889117378
24,Mississippi,USA-3544,40.8,10.60530249,3.91758002,14.2,13.31546974
25,Missouri,USA-3531,34.8,6.827292418,2.180970938,10.4,9.517201787
26,Montana,USA-3515,28.3,8.205491931,1.586889125,7.9,9.522533264
27,Nebraska,USA-3532,34.1,5.553388303,1.092550472,10.1,8.416626859
28,Nevada,USA-3523,30.6,5.294182198,1.002140518,10.4,7.90614159
29,New Hampshire,USA-3538,31.8,4.980847203,2.253855516,8.4,7.731978594
30,New Jersey,USA-3558,25.6,3.618740594,1.464752386,11,6.339593655
31,New Mexico,USA-3524,31.7,13.95408508,2.065653076,10.7,14.21442486
32,New York,USA-3559,27.1,2.246638113,1.185411061,10.5,5.451187785
33,North Carolina,USA-3549,34,6.713845716,2.737235214,11.4,9.513415522
34,North Dakota,USA-3516,34.08,6.932431635,1.173544826,9,9.278056627
35,Ohio,USA-3550,34.8,6.776966992,2.372763166,11.3,9.591153211
36,Oklahoma,USA-3533,36.8,8.557219095,2.144683156,12.7,11.15452168
37,Oregon,USA-3525,29,5.305130762,1.237963289,9.6,7.697387863
38,Pennsylvania,USA-3560,33.2,4.553097104,2.254300191,10.6,7.792597992
39,Rhode Island,USA-3539,30,4.698447962,1.546555178,8.9,7.333569091
40,South Carolina,USA-3545,35.3,9.127284401,3.496452919,13.4,11.60874437
41,South Dakota,USA-3534,33,10.97311423,1.849557992,11.1,12.27613576
42,Tennessee,USA-3551,36.5,8.440470134,2.619015225,13.1,11.13023062
43,Texas,USA-3536,34,8.586575839,1.641297191,11.9,10.76473281
44,Utah,USA-3526,29.2,5.801174793,0.910864152,7.1,7.78190877
45,Vermont,USA-3540,26.6,3.27200875,2.777656368,9.3,6.158171762
46,Virginia,USA-3552,31.9,14.7621777,2.00579248,10.5,14.77410364
47,Washington,USA-3519,28.3,5.482251139,1.156249786,9.8,7.763200776
48,West Virginia,USA-3554,39.7,6.547053985,4.366573789,16.2,10.60959517
49,Wisconsin,USA-3553,34.2,4.775492098,1.7790716,8.7,7.810751629
50,Wyoming,USA-3527,29.7,8.342864979,8.802163532,8.7,10.56022184
