store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,longitude,latitude
st_151098,Dollar General 3621,A113489,0,119S,NA,LYBURN,WV,25632,Combination Grocery/Other,2,Small retail,4,Dollar General,-81.9729423,37.7549288
st_154774,DOLLAR GENERAL 4239,A114012,0,2ND & CONGER,NA,NORRIS CITY,IL,62869,Combination Grocery/Other,2,Small retail,4,Dollar General,-88.32661,37.9799
st_153035,DOLLAR GENERAL 8108,A116588,0,401 BYPASS,NA,BENNETTSVILLE,SC,29512,Combination Grocery/Other,2,Small retail,4,Dollar General,-79.70215,34.60566
st_150647,Dollar General 1249,A106706,0,49 Hwy & Vine,NA,Viburnum,MO,65566,Combination Grocery/Other,2,Small retail,4,Dollar General,-91.13345,37.71256
st_152707,DOLLAR GENERAL 1005,A104295,0,4TH AVE E,NA,RED BAY,AL,35582,Combination Grocery/Other,2,Small retail,4,Dollar General,-88.1326612,34.4397369
st_154142,Dollar General 6489,A115192,0,6 TIOGA WEST SHOPPING CTR,NA,TUNKHANNOCK,PA,18657,Combination Grocery/Other,2,Small retail,4,Dollar General,-75.93657,41.53637
st_150311,DOLLAR GENERAL 1957,A112155,0,6th Ave SE,NA,Decatur,AL,35601,Combination Grocery/Other,2,Small retail,4,Dollar General,-86.98041,34.58405
st_001567,DOLLAR GENERAL 6940,A115584,0,Airport Blvd,NA,Mobile,AL,36608,Combination Grocery/Other,2,Small retail,4,Dollar General,-88.20962,30.68694
st_145666,Dollar General 172,A110592,0,Alt 58,NA,Pennington Gap,VA,24277,Combination Grocery/Other,2,Small retail,4,Dollar General,-83.04368,36.75079
st_002275,Dollar General 6761,A115430,0,Atlee Rd,NA,Mechanicsville,VA,23116,Combination Grocery/Other,2,Small retail,4,Dollar General,-77.39883,37.6495
st_142556,DOLLAR GENERAL 3352,A113273,0,AZLE SHPG CENTER,NA,AZLE,TX,76020,Combination Grocery/Other,2,Small retail,4,Dollar General,-97.58377,32.85839
st_145680,Dollar General 3556,A113443,0,Baltimore Annapolis Blvd,NA,Glen Burnie,MD,21061,Combination Grocery/Other,2,Small retail,4,Dollar General,-76.63165,39.17104
st_147277,Dollar General 7827,A116366,0,Battlefield Blvd N,NA,Chesapeake,VA,23320,Combination Grocery/Other,2,Small retail,4,Dollar General,-76.24394,36.74441
