store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,longitude,latitude
st_035080,DOLLAR TREE 0718,A119958,0,Crawfordsville Rd,NA,Speedway,IN,46224,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-86.26446,39.79851
st_018122,DOLLAR TREE 1687,A120594,0,Dunning Rd,NA,Middletown,NY,10940,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.5652,42.15955
st_029822,DOLLAR TREE 2909,A121787,0,E Main St,NA,Westfield,MA,1085,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-72.72643,42.11396
st_060311,Dollar Tree 434,A123067,0,Folly Rd Unit 103,NA,Charleston,SC,29412,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-79.96582,32.71745
st_060701,Dollar Tree 366,A122438,0,Gunston Plz,NA,Lorton,VA,22079,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.20683,38.70484
st_018288,Dollar Tree 1248,A120208,0,Harding Blvd,NA,Roseville,CA,95678,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-121.27428,38.74441
st_064956,Dollar Tree 3651,A122429,0,Indian Head Hwy,NA,Oxon Hill,MD,20745,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.99999,38.81855
st_060722,Dollar Tree 3720,A122499,0,Lee Jackson Hwy,NA,Chantilly,VA,20151,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.41859,38.88885
st_098939,Dollar Tree 1266,A120228,0,McHenry Ave,NA,Modesto,CA,95350,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-120.99419,37.67712
st_065295,Dollar Tree 3759,A122534,0,Mount Hermon Rd,NA,Scotts Valley,CA,95066,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.03147,37.04746
st_065204,Dollar Tree 3706,A122483,0,Pelham Pkwy,NA,Pelham,AL,35124,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-86.792,33.33341
st_015815,Dollar Tree/Deals 1653,A039239,0,Philadelphia Pike,NA,Claymont,DE,19703,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-75.47352,39.78902
st_049201,Dollar Tree 2810,A121683,0,RR 3 Box 3190,NA,Keyser,WV,26726,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-79.00757,39.40677
st_064905,Dollar Tree 3611,A122385,0,South Blvd,NA,Charlotte,NC,28273,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.88165,35.10842
